chr snpid bp cM male_cM female_cM
1 DRGA0001495 124333001 74.892 79.987 69.797
1 ALGA0005841 124397326 74.9195 80.042 69.797
1 H3GA0002712 124662652 74.9915 80.182 69.801
1 DRGA0001500 124675989 74.9935 80.186 69.801
1 ALGA0005853 124712777 74.9935 80.186 69.801
1 AFFX-114778164 124926504 75.007 80.213 69.801
1 MARC0022136 125112608 75.009 80.217 69.801
1 ALGA0005858 125114214 75.009 80.217 69.801
1 MARC0065733 125272056 75.009 80.217 69.801
1 ALGA0005869 125295574 75.009 80.217 69.801
1 ALGA0005871 125319649 75.009 80.217 69.801
1 DRGA0001507 125353115 75.085 80.369 69.801
1 ALGA0005880 125419284 75.085 80.369 69.801
1 DRGA0001510 125499423 75.085 80.369 69.801
1 MARC0007146 125539107 75.085 80.369 69.801
1 ALGA0005890 125553771 75.085 80.369 69.801
1 DRGA0001516 125685721 75.085 80.369 69.801
1 MARC0048256 125698743 75.085 80.369 69.801
1 MARC0039560 125972551 75.104 80.4 69.808
1 ASGA0004457 125994480 75.106 80.404 69.808
1 MARC0001422 126021505 75.106 80.404 69.808
1 H3GA0002725 126041216 75.1375 80.463 69.812
1 ALGA0005933 126191641 75.143 80.474 69.812
1 ASGA0004479 126381240 75.155 80.498 69.812
1 MARC0012662 126495844 75.176 80.536 69.816
1 MARC0108203 126621867 75.19 80.564 69.816
1 ALGA0005938 126652980 75.213 80.61 69.816
1 WU_10.2_1_141717122 126993674 75.229 80.642 69.816
1 WU_10.2_1_141934897 127275800 75.229 80.642 69.816
1 ALGA0005943 127417689 75.2445 80.673 69.816
1 ASGA0004482 127457822 75.2795 80.739 69.82
1 ALGA0005946 127492720 75.2815 80.743 69.82
1 ASGA0004483 127520992 75.3045 80.789 69.82
1 H3GA0002734 127890280 75.3575 80.891 69.824
1 H3GA0002737 127919172 75.3805 80.937 69.824
1 ALGA0005956 127957580 75.4175 81.011 69.824
1 ALGA0005957 128029101 75.4175 81.011 69.824
1 ALGA0005959 128201615 75.4195 81.015 69.824
1 AFFX-114698580 128521866 75.4295 81.035 69.824
1 ALGA0110613 128709864 75.441 81.054 69.828
1 ASGA0102084 128711631 75.441 81.054 69.828
1 MARC0114582 128983841 75.484 81.128 69.84
1 MARC0065884 129087544 75.5035 81.167 69.84
1 DIAS0004572 129193803 75.536 81.229 69.843
1 MARC0003250 129217218 75.538 81.233 69.843
1 MARC0029067 129354132 75.5985 81.35 69.847
1 ASGA0004526 129483836 75.7115 81.564 69.859
1 ASGA0004535 129816213 75.827 81.783 69.871
1 ASGA0004539 129869498 75.8345 81.798 69.871
1 ALGA0005984 130044175 75.8385 81.806 69.871
1 MARC0040501 130295942 75.856 81.841 69.871
1 MARC0029823 130303657 75.86 81.849 69.871
1 ALGA0005985 130398793 76.2005 82.499 69.902
1 ALGA0005991 130578101 76.212 82.522 69.902
1 ASGA0004549 130611566 76.218 82.534 69.902
1 H3GA0002760 130768992 76.218 82.534 69.902
1 ASGA0004555 130792362 76.222 82.538 69.906
1 ASGA0004558 130829155 76.222 82.538 69.906
1 H3GA0002769 130906660 76.2395 82.573 69.906
1 M1GA0001121 131036673 76.255 82.604 69.906
1 INRA0004224 131047558 76.257 82.608 69.906
1 MARC0014312 131061791 76.2685 82.631 69.906
1 ASGA0004564 131069314 76.2685 82.631 69.906
1 DIAS0003570 131095975 76.2685 82.631 69.906
1 DIAS0000131 131122258 76.2685 82.631 69.906
1 INRA0004226 131132164 76.2685 82.631 69.906
1 ALGA0006009 131162877 76.2685 82.631 69.906
1 ALGA0006012 131201230 76.2685 82.631 69.906
1 ASGA0004574 131447528 76.3265 82.736 69.917
1 ALGA0006027 131811259 76.346 82.775 69.917
1 M1GA0001123 131841572 76.348 82.779 69.917
1 ASGA0004581 131865655 76.348 82.779 69.917
1 H3GA0002778 131888278 76.348 82.779 69.917
1 ASGA0004588 131921131 76.348 82.779 69.917
1 DRGA0001527 131941145 76.348 82.779 69.917
1 ALGA0006038 132002472 76.3635 82.81 69.917
1 ASGA0004593 132037747 76.3655 82.814 69.917
1 ASGA0004595 132059514 76.3655 82.814 69.917
1 MARC0020010 132122843 76.3695 82.822 69.917
1 MARC0056240 132309024 76.381 82.845 69.917
1 ASGA0004598 132376665 76.381 82.845 69.917
1 ALGA0006042 132440220 76.393 82.869 69.917
1 ALGA0006043 132481475 76.395 82.873 69.917
1 ALGA0006048 132572509 76.4045 82.892 69.917
1 H3GA0002791 132591965 76.4085 82.9 69.917
1 ASGA0004604 132616858 76.4085 82.9 69.917
1 AFFX-114973260 132698168 76.4475 82.962 69.933
1 MARC0088600 132894037 76.4475 82.962 69.933
1 DRGA0001532 133071231 76.465 82.997 69.933
1 ALGA0006059 133083154 76.471 83.005 69.937
1 ALGA0006063 133245793 76.541 83.141 69.941
1 ALGA0006066 133468623 76.547 83.153 69.941
1 DRGA0001536 133513858 76.5605 83.18 69.941
1 ASGA0004618 133665918 76.5625 83.184 69.941
1 ALGA0006071 133696865 76.693 83.406 69.98
1 H3GA0002801 134017532 76.703 83.422 69.984
1 WU_10.2_1_149943943 134046180 76.703 83.422 69.984
1 MARC0110031 134440592 76.7455 83.504 69.987
1 ALGA0006075 134503780 76.7455 83.504 69.987
1 INRA0004288 134594000 76.7455 83.504 69.987
1 INRA0004289 134597593 76.7475 83.508 69.987
1 ALGA0006076 134737012 76.749 83.511 69.987
1 WU_10.2_1_150847790 134998333 76.755 83.523 69.987
1 ALGA0006082 135202243 76.763 83.535 69.991
1 ALGA0006083 135274728 76.804 83.613 69.995
1 WU_10.2_1_151556388 135545882 76.806 83.617 69.995
1 WU_10.2_1_151777777 135695291 76.843 83.687 69.999
1 AFFX-115142634 135878953 76.8505 83.698 70.003
1 WU_10.2_1_152369562 136244732 76.8625 83.722 70.003
1 ALGA0006089 136413389 76.8625 83.722 70.003
1 AFFX-114611178 136631243 76.868 83.733 70.003
1 WU_10.2_1_152957910 136735925 76.874 83.745 70.003
1 ASGA0004634 136976833 76.8975 83.792 70.003
1 WU_10.2_1_153255896 137150265 76.9245 83.842 70.007
1 WU_10.2_1_153369868 137239339 77.114 84.213 70.015
1 H3GA0002812 137430730 77.118 84.221 70.015
1 ASGA0004638 137459933 77.1315 84.248 70.015
1 WU_10.2_1_153842012 137678676 77.1435 84.272 70.015
1 ALGA0006103 137801211 77.2055 84.381 70.03
1 DRGA0001546 138007535 77.2285 84.427 70.03
1 WU_10.2_1_154268405 138095926 77.2305 84.431 70.03
1 H3GA0002819 138223942 77.2365 84.443 70.03
1 WU_10.2_1_154576537 138417104 77.256 84.482 70.03
1 ASGA0004648 138700507 77.2775 84.525 70.03
1 H3GA0002821 138723596 77.334 84.638 70.03
1 ALGA0118182 138818408 77.355 84.68 70.03
1 WU_10.2_1_155272387 139068027 77.3865 84.743 70.03
1 MARC0092163 139151214 77.3885 84.747 70.03
1 ALGA0006121 139207599 77.3885 84.747 70.03
1 ASGA0004656 139325590 77.4215 84.805 70.038
1 ASGA0004660 139400191 77.433 84.828 70.038
1 ALGA0006130 139423215 77.4565 84.871 70.042
1 MARC0057112 139448016 77.4565 84.871 70.042
1 ASGA0004664 139481542 77.4605 84.871 70.05
1 ASGA0004662 139532521 77.4645 84.879 70.05
1 ALGA0006141 139579572 77.4685 84.887 70.05
1 H3GA0002849 139636710 77.5425 85.004 70.081
1 ALGA0006146 139655026 77.5425 85.004 70.081
1 ASGA0004673 139675946 77.5425 85.004 70.081
1 ALGA0006150 139712773 77.552 85.023 70.081
1 ALGA0006154 139755328 77.5655 85.05 70.081
1 ASGA0004676 139790223 77.5655 85.05 70.081
1 MARC0036647 139826395 77.5655 85.05 70.081
1 ALGA0006160 139847856 77.5655 85.05 70.081
1 ALGA0006162 139923196 77.6985 85.304 70.093
1 ALGA0006167 139938647 77.6985 85.304 70.093
1 ALGA0006168 139965223 77.6985 85.304 70.093
1 ALGA0006170 139979406 77.7005 85.308 70.093
1 ALGA0006172 139993309 77.7045 85.316 70.093
1 MARC0088702 140018050 77.7155 85.331 70.1
1 ASGA0004685 140031748 77.7155 85.331 70.1
1 H3GA0002860 140097794 77.7155 85.331 70.1
1 ALGA0006186 140138526 77.7155 85.331 70.1
1 ASGA0004694 140186229 77.7235 85.347 70.1
1 INRA0004409 140269334 77.735 85.37 70.1
1 MARC0082076 140296640 77.735 85.37 70.1
1 INRA0004421 140345052 77.772 85.432 70.112
1 ASGA0004700 140543183 77.8325 85.534 70.131
1 ALGA0006204 140697337 78.151 86.101 70.201
1 ASGA0004709 140813895 78.151 86.101 70.201
1 ALGA0111689 141062480 78.159 86.113 70.205
1 ASGA0004713 141308903 78.1765 86.144 70.209
1 ASGA0004714 141388609 78.1785 86.148 70.209
1 MARC0010520 141616090 78.7025 87.071 70.334
1 H3GA0002892 141691193 78.714 87.094 70.334
1 WU_10.2_1_157695657 141796524 78.714 87.094 70.334
1 WU_10.2_1_157785487 141889209 78.714 87.094 70.334
1 ASGA0004730 141989498 78.716 87.094 70.338
1 H3GA0002894 142018123 78.722 87.106 70.338
1 ALGA0006238 142042139 78.722 87.106 70.338
1 SIRI0000960 142070404 78.7355 87.125 70.346
1 ASGA0004733 142356581 78.7645 87.176 70.353
1 WU_10.2_1_158303641 142440877 78.7665 87.18 70.353
1 WU_10.2_1_158408729 142546070 78.786 87.215 70.357
1 WU_10.2_1_158506328 142644850 78.786 87.215 70.357
1 WU_10.2_1_158692887 142779307 79.024 87.609 70.439
1 MARC0069362 142938731 79.0475 87.648 70.447
1 WU_10.2_1_158869313 142975163 79.0475 87.648 70.447
1 ASGA0004735 143090127 79.0595 87.672 70.447
1 H3GA0002904 143236215 79.067 87.687 70.447
1 WU_10.2_1_159386886 143441680 79.067 87.687 70.447
1 WU_10.2_1_159464326 143519304 79.075 87.703 70.447
1 ASGA0004740 143601307 79.1075 87.757 70.458
1 ASGA0004741 143627113 79.1135 87.769 70.458
1 AFFX-115240308 143635743 79.1155 87.773 70.458
1 ASGA0004745 143655123 79.1155 87.773 70.458
1 ASGA0004747 143733258 79.1175 87.777 70.458
1 ASGA0004749 143747114 79.1235 87.785 70.462
1 ALGA0006262 143797587 79.1235 87.785 70.462
1 ASGA0004750 143810843 79.1235 87.785 70.462
1 ASGA0004753 143844777 79.1235 87.785 70.462
1 H3GA0002921 143878129 79.129 87.796 70.462
1 MARC0062973 143919220 79.131 87.8 70.462
1 WU_10.2_1_159947283 144001568 79.135 87.808 70.462
1 H3GA0002928 144236477 79.1485 87.835 70.462
1 AFFX-115031375 144459132 79.17 87.866 70.474
1 WU_10.2_1_160745169 144691974 79.207 87.936 70.478
1 ALGA0006284 144770781 79.207 87.936 70.478
1 ASGA0008327 145307742 79.213 87.948 70.478
1 WU_10.2_1_311053770 145333715 79.217 87.956 70.478
1 WU_10.2_1_311104682 145384623 79.217 87.956 70.478
1 H3GA0005430 145410133 79.217 87.956 70.478
1 MARC0086286 145436479 79.217 87.956 70.478
1 ALGA0011136 145464765 79.217 87.956 70.478
1 WU_10.2_1_311224087 145502977 79.217 87.956 70.478
1 ALGA0011137 145516041 79.217 87.956 70.478
1 H3GA0005436 145534221 79.217 87.956 70.478
1 SIRI0000829 145564461 79.217 87.956 70.478
1 WU_10.2_1_311276737 145590416 79.219 87.956 70.482
1 M1GA0002113 145605008 79.2385 87.995 70.482
1 WU_10.2_1_311246650 145620082 79.2385 87.995 70.482
1 WU_10.2_1_311418877 145643981 79.418 88.307 70.529
1 ASGA0008338 145680667 79.422 88.315 70.529
1 WU_10.2_1_311422792 145683881 79.424 88.319 70.529
1 WU_10.2_1_311628003 145724081 79.426 88.323 70.529
1 WU_10.2_1_311610908 145741382 79.428 88.327 70.529
1 WU_10.2_1_311606422 145745870 79.428 88.327 70.529
1 WU_10.2_1_311602236 145750058 79.428 88.327 70.529
1 WU_10.2_1_311591204 145761088 79.428 88.327 70.529
1 WU_10.2_1_311563616 145788676 79.428 88.327 70.529
1 WU_10.2_1_311558648 145793644 79.4295 88.33 70.529
1 WU_10.2_1_311691942 145798849 79.4435 88.358 70.529
1 H3GA0055329 146329310 79.4455 88.362 70.529
1 H3GA0055523 146341623 79.4455 88.362 70.529
1 MARC0113728 146362732 79.4455 88.362 70.529
1 1_161891709 146435754 79.4625 88.393 70.532
1 SIRI0000222 146686967 79.5345 88.498 70.571
1 ALGA0006302 146804205 79.5365 88.502 70.571
1 ALGA0006310 146816331 79.5365 88.502 70.571
1 ALGA0006319 146979672 79.544 88.517 70.571
1 ALGA0006320 147001436 79.6455 88.708 70.583
1 ASGA0004792 147031522 79.6455 88.708 70.583
1 INRA0004525 147052660 79.6455 88.708 70.583
1 M1GA0001153 147074339 79.6455 88.708 70.583
1 INRA0004546 147176896 79.6495 88.716 70.583
1 ASGA0004802 147198001 79.6495 88.716 70.583
1 INRA0004551 147253213 79.6535 88.724 70.583
1 ALGA0006341 147274084 79.6535 88.724 70.583
1 ALGA0006344 147314418 79.6555 88.728 70.583
1 ALGA0006347 147342967 79.6555 88.728 70.583
1 WU_10.2_1_162876651 147421873 79.6575 88.732 70.583
1 MARC0009571 147445089 79.6575 88.732 70.583
1 ASGA0004821 147473965 79.6595 88.736 70.583
1 ASGA0004819 147497745 79.716 88.837 70.595
1 ASGA0004815 147545781 79.7215 88.841 70.602
1 ASGA0004813 147561398 79.7255 88.849 70.602
1 M1GA0001154 147569477 79.7255 88.849 70.602
1 MARC0048966 147654193 79.743 88.872 70.614
1 MARC0057298 147704396 79.743 88.872 70.614
1 M1GA0001158 147742919 79.743 88.872 70.614
1 H3GA0002996 147897077 79.743 88.872 70.614
1 ALGA0006383 147917056 79.743 88.872 70.614
1 ASGA0004855 147931091 79.743 88.872 70.614
1 ASGA0004864 148013788 79.78 88.923 70.637
1 ALGA0006395 148170231 79.784 88.923 70.645
1 INRA0004641 148178063 79.784 88.923 70.645
1 ALGA0006396 148327912 79.786 88.923 70.649
1 MARC0044386 148366386 79.786 88.923 70.649
1 MARC0062569 148387133 79.786 88.923 70.649
1 ALGA0006401 148429806 79.786 88.923 70.649
1 H3GA0003011 148452203 79.7935 88.938 70.649
1 ASGA0004882 148614251 79.7955 88.942 70.649
1 H3GA0003015 148635904 79.7955 88.942 70.649
1 ALGA0006411 148681430 79.7955 88.942 70.649
1 ALGA0006415 148839311 79.7995 88.95 70.649
1 H3GA0003025 148863975 79.7995 88.95 70.649
1 ALGA0006420 148894586 79.823 88.985 70.661
1 M1GA0001195 148974102 79.827 88.989 70.665
1 ALGA0006424 149029738 79.833 88.997 70.669
1 ALGA0006425 149261646 79.836 89 70.672
1 ALGA0006427 149286248 79.836 89 70.672
1 INRA0004678 149353593 79.838 89.004 70.672
1 MARC0026211 149455220 79.838 89.004 70.672
1 MARC0076837 149501491 79.84 89.008 70.672
1 ASGA0004896 149573916 79.8715 89.067 70.676
1 H3GA0003037 149745061 79.875 89.074 70.676
1 ASGA0004899 149872523 79.875 89.074 70.676
1 ASGA0004900 149936117 79.875 89.074 70.676
1 ASGA0004902 149967322 79.891 89.098 70.684
1 H3GA0003038 150005308 79.895 89.106 70.684
1 MARC0104995 150047519 79.8985 89.113 70.684
1 ASGA0102632 150050926 79.9005 89.117 70.684
1 ASGA0101470 150051325 79.9085 89.133 70.684
1 ASGA0004912 150070744 79.926 89.164 70.688
1 ALGA0006445 150089383 79.926 89.164 70.688
1 ALGA0006442 150144056 79.926 89.164 70.688
1 ALGA0006451 150363749 79.926 89.164 70.688
1 INRA0004735 150386584 79.926 89.164 70.688
1 ALGA0113555 150554796 79.9415 89.195 70.688
1 AFFX-115202413 150756120 79.953 89.218 70.688
1 MARC0096493 150877078 79.953 89.218 70.688
1 INRA0057831 150925661 79.963 89.238 70.688
1 MARC0069087 150927213 79.963 89.238 70.688
1 ASGA0004922 151018802 79.963 89.238 70.688
1 DRGA0001569 151209846 79.969 89.25 70.688
1 ALGA0006468 151303056 79.9765 89.261 70.692
1 ALGA0006467 151342109 80.1425 89.585 70.7
1 CASI0008404 151435518 80.1425 89.585 70.7
1 WU_10.2_1_168002670 151675958 80.1425 89.585 70.7
1 ALGA0006470 151976342 80.1485 89.597 70.7
1 CASI0009711 152009004 80.1505 89.601 70.7
1 ALGA0006476 152059892 80.1505 89.601 70.7
1 INRA0004738 152100725 80.158 89.616 70.7
1 ALGA0006479 152201203 80.158 89.616 70.7
1 H3GA0003058 152246799 80.17 89.632 70.708
1 H3GA0003059 152314613 80.1795 89.651 70.708
1 ALGA0006485 152357354 80.207 89.706 70.708
1 WU_10.2_1_168922259 152527914 80.211 89.714 70.708
1 AFFX-115026941 152791549 80.3275 89.936 70.719
1 MARC0111537 152985397 80.3315 89.944 70.719
1 ASGA0004933 153020244 80.345 89.967 70.723
1 ALGA0006496 153127120 80.345 89.967 70.723
1 MARC0010751 153198572 80.349 89.975 70.723
1 INRA0004778 153391587 80.349 89.975 70.723
1 H3GA0003065 153565013 80.3665 90.01 70.723
1 AFFX-115219399 153670902 80.3685 90.014 70.723
1 ALGA0006504 153928505 80.3685 90.014 70.723
1 AFFX-114807239 154021298 80.388 90.053 70.723
1 AFFX-114827656 154214125 80.3955 90.064 70.727
1 WU_10.2_1_171173985 154243826 80.4055 90.084 70.727
1 AFFX-115008669 154298613 80.423 90.119 70.727
1 AFFX-115058896 154525155 80.423 90.119 70.727
1 ALGA0006510 154796451 80.423 90.119 70.727
1 ALGA0006512 154822561 80.427 90.127 70.727
1 ALGA0006518 154874516 80.427 90.127 70.727
1 ALGA0006519 154910324 80.427 90.127 70.727
1 MARC0076018 154951672 80.427 90.127 70.727
1 DRGA0001578 154980475 80.427 90.127 70.727
1 ALGA0006516 155015630 80.4305 90.134 70.727
1 SIRI0000619 155077252 80.4325 90.138 70.727
1 ALGA0105024 155129906 80.4325 90.138 70.727
1 MARC0051329 155163188 80.4325 90.138 70.727
1 WU_10.2_1_172473082 155275308 80.4425 90.158 70.727
1 WU_10.2_1_172580131 155323182 80.4425 90.158 70.727
1 ALGA0006522 155462235 80.4425 90.158 70.727
1 ALGA0006523 155492432 80.4445 90.162 70.727
1 MARC0004113 155634718 80.4445 90.162 70.727
1 ALGA0116832 155713656 80.4505 90.17 70.731
1 ALGA0006529 155763373 80.4505 90.17 70.731
1 ALGA0006534 155984360 80.491 90.228 70.754
1 ALGA0006539 155986286 80.491 90.228 70.754
1 ALGA0006535 156034065 80.847 90.874 70.82
1 ALGA0006541 156328454 80.849 90.878 70.82
1 MARC0060938 156347688 80.849 90.878 70.82
1 H3GA0003070 156387603 80.849 90.878 70.82
1 ASGA0004948 156401545 80.853 90.882 70.824
1 ALGA0006547 156505431 80.857 90.89 70.824
1 H3GA0003072 156600583 80.867 90.894 70.84
1 WU_10.2_1_173888825 156729990 80.867 90.894 70.84
1 WU_10.2_1_174189487 156745942 80.867 90.894 70.84
1 ASGA0004949 156856703 80.8745 90.909 70.84
1 M1GA0001199 156960410 80.8865 90.933 70.84
1 ALGA0006549 157220688 80.8865 90.933 70.84
1 INRA0004842 157419456 80.89 90.94 70.84
1 ALGA0006551 157471518 80.89 90.94 70.84
1 ASGA0004953 157498487 80.9075 90.975 70.84
1 AFFX-114698941 157713757 80.9075 90.975 70.84
1 INRA0004853 157992516 80.9215 91.003 70.84
1 ASGA0004958 158260371 81.0015 91.155 70.848
1 ASGA0004963 158309021 81.0015 91.155 70.848
1 ALGA0006564 158355905 81.0165 91.178 70.855
1 ALGA0006572 158566642 81.048 91.229 70.867
1 ASGA0004970 158589475 81.0495 91.232 70.867
1 MARC0034873 158682904 81.067 91.267 70.867
1 INRA0004895 158755255 81.071 91.275 70.867
1 INRA0004898 158811662 81.1005 91.33 70.871
1 ASGA0004978 158940596 81.1005 91.33 70.871
1 MARC0075909 159238083 81.11 91.349 70.871
1 ASGA0004980 159486739 81.1415 91.408 70.875
1 ALGA0006602 159538854 81.1415 91.408 70.875
1 H3GA0003111 159587800 81.1435 91.412 70.875
1 H3GA0003104 159619891 81.145 91.415 70.875
1 ALGA0006599 159660303 81.202 91.521 70.883
1 WU_10.2_1_177201808 159697691 81.2035 91.524 70.883
1 ASGA0101718 159785087 81.2075 91.532 70.883
1 DIAS0000206 159835711 81.223 91.556 70.89
1 H3GA0003114 159869235 81.223 91.556 70.89
1 ASGA0106369 159869511 81.223 91.556 70.89
1 ASGA0004988 159881634 81.223 91.556 70.89
1 ASGA0004989 160005977 81.471 92.013 70.929
1 WU_10.2_1_177662261 160028398 81.471 92.013 70.929
1 ASGA0004992 160210902 81.473 92.017 70.929
1 ASGA0004994 160223900 81.473 92.017 70.929
1 ASGA0004998 160273139 81.473 92.017 70.929
1 ALGA0006621 160284793 81.473 92.017 70.929
1 INRA0004954 160288412 81.473 92.017 70.929
1 ALGA0006623 160347188 81.473 92.017 70.929
1 WU_10.2_1_178188861 160447734 81.475 92.021 70.929
1 INRA0004955 160513631 81.475 92.021 70.929
1 WU_10.2_1_178486722 160734418 81.4845 92.04 70.929
1 MC4R 160772887 81.4865 92.044 70.929
1 MC4R_2 160772888 81.4865 92.044 70.929
1 MC4R_3 160772889 81.4865 92.044 70.929
1 MC4R_4 160772890 81.4865 92.044 70.929
1 12784636 160773098 81.4865 92.044 70.929
1 12784637 160773099 81.4865 92.044 70.929
1 12784638 160773471 81.4865 92.044 70.929
1 12784639 160773472 81.4865 92.044 70.929
1 INRA0004964 160903291 81.4885 92.048 70.929
1 ALGA0006632 161065925 81.4885 92.048 70.929
1 MARC0056620 161162895 81.4905 92.052 70.929
1 WU_10.2_1_178916326 161332334 81.4965 92.06 70.933
1 ALGA0006655 161418065 81.4985 92.064 70.933
1 DIAS0002061 161757994 81.506 92.075 70.937
1 MARC0013872 161824864 81.5235 92.106 70.941
1 ALGA0006684 161853405 81.5355 92.126 70.945
1 WU_10.2_1_179575045 161987727 81.5355 92.126 70.945
1 ASGA0005040 162105226 81.5415 92.134 70.949
1 H3GA0003149 162192627 81.5415 92.134 70.949
1 ALGA0006708 162372950 81.5895 92.215 70.964
1 WU_10.2_1_180054118 162437462 81.5895 92.215 70.964
1 ASGA0005057 162546721 81.5935 92.223 70.964
1 WU_10.2_1_180284104 162607316 81.6055 92.243 70.968
1 WU_10.2_1_180358223 162776157 81.613 92.258 70.968
1 ALGA0103973 162876975 81.613 92.258 70.968
1 WU_10.2_1_180591591 162977295 81.617 92.266 70.968
1 WU_10.2_1_180706422 163182023 81.668 92.348 70.988
1 ALGA0006722 163262401 81.6815 92.371 70.992
1 MARC0004843 163432839 81.711 92.43 70.992
1 ASGA0005079 163443518 81.7355 92.472 70.999
1 H3GA0003173 163712649 81.7415 92.48 71.003
1 ALGA0006736 163815021 81.7845 92.542 71.027
1 WU_10.2_1_181460462 163890592 81.829 92.616 71.042
1 WU_10.2_1_181660566 163933799 81.831 92.616 71.046
1 ASGA0005085 163981296 81.853 92.644 71.062
1 ASGA0005093 164015921 81.857 92.652 71.062
1 ASGA0005100 164072283 81.9015 92.718 71.085
1 WU_10.2_1_182166672 164411330 82.0045 92.893 71.116
1 ALGA0006764 164547654 82.022 92.92 71.124
1 ALGA0006773 164719466 82.03 92.932 71.128
1 ALGA0006774 164766550 82.03 92.932 71.128
1 ASGA0105448 164829874 82.059 92.971 71.147
1 ALGA0116902 164848673 82.0725 92.998 71.147
1 ASGA0100759 164853481 82.0725 92.998 71.147
1 WU_10.2_1_182684682 164895316 82.11 93.053 71.167
1 WU_10.2_1_182749893 164966230 82.2855 93.373 71.198
1 MARC0038676 165070354 82.3535 93.482 71.225
1 MARC0070831 165359001 82.5625 93.849 71.276
1 ALGA0006778 165404255 82.5625 93.849 71.276
1 MARC0043401 165418466 82.5625 93.849 71.276
1 ALGA0006782 165536222 82.5625 93.849 71.276
1 ASGA0005131 165556954 82.58 93.884 71.276
1 ASGA0005132 165580989 82.58 93.884 71.276
1 MARC0105021 165690284 82.58 93.884 71.276
1 H3GA0003201 165732651 82.58 93.884 71.276
1 H3GA0003202 165756649 82.58 93.884 71.276
1 ALGA0006787 165813601 82.58 93.884 71.276
1 ASGA0005142 165856655 82.58 93.884 71.276
1 ASGA0005146 165880737 82.6015 93.923 71.28
1 MARC0054143 165901388 82.6035 93.927 71.28
1 ALGA0006793 165929672 82.6035 93.927 71.28
1 MARC0054059 165994631 82.6035 93.927 71.28
1 BGIS0003207 166083413 82.6325 93.978 71.287
1 ASGA0093974 166110292 82.6775 94.052 71.303
1 H3GA0003227 166253306 82.685 94.067 71.303
1 ALGA0006817 166363826 82.695 94.083 71.307
1 ASGA0005166 166423104 82.732 94.153 71.311
1 H3GA0003232 166441058 82.757 94.196 71.318
1 MARC0016452 166509701 82.7785 94.231 71.326
1 ASGA0005172 166544413 82.78 94.234 71.326
1 ALGA0006831 166566730 82.784 94.242 71.326
1 MARC0005818 166602775 82.784 94.242 71.326
1 MARC0053979 166608531 82.784 94.242 71.326
1 WU_10.2_1_184581774 166653131 82.792 94.25 71.334
1 INRA0005102 166679773 82.792 94.25 71.334
1 INRA0005103 166679949 82.792 94.25 71.334
1 ASGA0005173 166899713 82.794 94.254 71.334
1 ALGA0006837 166905717 82.8 94.266 71.334
1 ALGA0006843 166945257 82.802 94.27 71.334
1 ALGA0006848 166983842 82.8035 94.273 71.334
1 ALGA0006854 167078291 82.8075 94.277 71.338
1 ALGA0006855 167123151 82.8095 94.281 71.338
1 MARC0095307 167171587 82.8195 94.301 71.338
1 ALGA0006860 167237810 82.8405 94.343 71.338
1 H3GA0003270 167335097 82.8405 94.343 71.338
1 ASGA0005207 167381761 82.8445 94.351 71.338
1 M1GA0001228 167400746 82.899 94.46 71.338
1 ALGA0006867 167413561 82.903 94.468 71.338
1 ASGA0005216 167448240 82.9245 94.503 71.346
1 MARC0085404 167459829 82.9245 94.503 71.346
1 ASGA0005225 167505370 82.959 94.565 71.353
1 H3GA0003282 167519126 82.959 94.565 71.353
1 ALGA0006886 167546126 82.963 94.569 71.357
1 ASGA0102108 167560266 82.9805 94.6 71.361
1 ALGA0006889 167600776 82.9865 94.608 71.365
1 ALGA0006891 167622960 82.9865 94.608 71.365
1 ALGA0006893 167639633 82.9865 94.608 71.365
1 MARC0088780 167660978 82.9905 94.616 71.365
1 ALGA0006895 167690373 82.9905 94.616 71.365
1 ASGA0005237 167723693 82.9925 94.616 71.369
1 ALGA0006911 167833211 82.9965 94.624 71.369
1 ASGA0005243 167898840 83.0275 94.682 71.373
1 ALGA0006905 167938652 83.0605 94.748 71.373
1 ALGA0006920 168068260 83.1445 94.904 71.385
1 ASGA0005251 168094798 83.187 94.986 71.388
1 DRGA0001605 168158737 83.197 95.006 71.388
1 H3GA0003313 168214614 83.1985 95.009 71.388
1 ALGA0006923 168274392 83.22 95.052 71.388
1 MARC0000066 168456232 83.2415 95.095 71.388
1 H3GA0003318 168508167 83.253 95.118 71.388
1 ASGA0005258 168543543 83.265 95.138 71.392
1 INRA0005202 168602519 83.267 95.142 71.392
1 ASGA0005260 168817608 83.314 95.228 71.4
1 MARC0051429 168845849 83.3255 95.247 71.404
1 ALGA0006933 168893697 83.343 95.282 71.404
1 INRA0005213 168913927 83.3605 95.317 71.404
1 ALGA0006943 169035232 83.4115 95.407 71.416
1 ALGA0006952 169100504 83.4115 95.407 71.416
1 ALGA0006955 169163416 83.419 95.422 71.416
1 MARC0049963 169283468 83.4325 95.442 71.423
1 H3GA0003337 169324632 83.4345 95.442 71.427
1 MARC0086427 169467833 83.4365 95.446 71.427
1 ALGA0006972 169765614 83.448 95.469 71.427
1 AFFX-114711452 169902051 83.454 95.477 71.431
1 WU_10.2_1_188782437 170064540 83.454 95.477 71.431
1 AFFX-114940309 170222388 83.4595 95.488 71.431
1 AFFX-114781884 170357749 83.4655 95.5 71.431
1 WU_10.2_1_189388692 170473535 83.4655 95.5 71.431
